15	10	E	-7012958.550097334	200
emissionprobs	2	0	H2azAlnRep1	0	0.996782331375126
emissionprobs	2	0	H2azAlnRep1	1	0.0032176686248739654
emissionprobs	2	1	H3k04me1AlnRep1	0	0.9999923837721603
emissionprobs	2	1	H3k04me1AlnRep1	1	7.6162278397838535E-6
emissionprobs	2	2	H3k04me2AlnRep1	0	1.0
emissionprobs	2	2	H3k04me2AlnRep1	1	1.8834603890946763E-17
emissionprobs	2	3	H3k04me3AlnRep1	0	0.9996145904176592
emissionprobs	2	3	H3k04me3AlnRep1	1	3.854095823407703E-4
emissionprobs	2	4	H3k09acAlnRep1	0	0.9997718414740479
emissionprobs	2	4	H3k09acAlnRep1	1	2.281585259521209E-4
emissionprobs	2	5	H3k09me3AlnRep1	0	0.9949842241134064
emissionprobs	2	5	H3k09me3AlnRep1	1	0.0050157758865936606
emissionprobs	2	6	H3k27acAlnRep1	0	0.9999244761489534
emissionprobs	2	6	H3k27acAlnRep1	1	7.552385104655518E-5
emissionprobs	2	7	H3k27me3AlnRep1	0	0.9963568472251891
emissionprobs	2	7	H3k27me3AlnRep1	1	0.0036431527748108407
emissionprobs	2	8	H3k36me3AlnRep1	0	0.9991481981710533
emissionprobs	2	8	H3k36me3AlnRep1	1	8.518018289467622E-4
emissionprobs	2	9	H3k79me2AlnRep1	0	0.9998262985593978
emissionprobs	2	9	H3k79me2AlnRep1	1	1.7370144060226757E-4
emissionprobs	3	0	H2azAlnRep1	0	0.986212723292776
emissionprobs	3	0	H2azAlnRep1	1	0.0137872767072241
emissionprobs	3	1	H3k04me1AlnRep1	0	0.9993970643563668
emissionprobs	3	1	H3k04me1AlnRep1	1	6.029356436332398E-4
emissionprobs	3	2	H3k04me2AlnRep1	0	0.999825564407627
emissionprobs	3	2	H3k04me2AlnRep1	1	1.7443559237292656E-4
emissionprobs	3	3	H3k04me3AlnRep1	0	0.9924604940725661
emissionprobs	3	3	H3k04me3AlnRep1	1	0.007539505927433934
emissionprobs	3	4	H3k09acAlnRep1	0	0.9981367368134165
emissionprobs	3	4	H3k09acAlnRep1	1	0.0018632631865834672
emissionprobs	3	5	H3k09me3AlnRep1	0	0.645920906108541
emissionprobs	3	5	H3k09me3AlnRep1	1	0.3540790938914589
emissionprobs	3	6	H3k27acAlnRep1	0	0.999413417700895
emissionprobs	3	6	H3k27acAlnRep1	1	5.865822991049608E-4
emissionprobs	3	7	H3k27me3AlnRep1	0	0.9950258939453557
emissionprobs	3	7	H3k27me3AlnRep1	1	0.0049741060546443045
emissionprobs	3	8	H3k36me3AlnRep1	0	0.9744452950722224
emissionprobs	3	8	H3k36me3AlnRep1	1	0.02555470492777752
emissionprobs	3	9	H3k79me2AlnRep1	0	0.9942628329447573
emissionprobs	3	9	H3k79me2AlnRep1	1	0.0057371670552426686
emissionprobs	4	0	H2azAlnRep1	0	0.9994968592189102
emissionprobs	4	0	H2azAlnRep1	1	5.031407810898889E-4
emissionprobs	4	1	H3k04me1AlnRep1	0	0.9953108913105648
emissionprobs	4	1	H3k04me1AlnRep1	1	0.004689108689435231
emissionprobs	4	2	H3k04me2AlnRep1	0	0.9993683067032464
emissionprobs	4	2	H3k04me2AlnRep1	1	6.316932967536171E-4
emissionprobs	4	3	H3k04me3AlnRep1	0	0.9990253237999048
emissionprobs	4	3	H3k04me3AlnRep1	1	9.746762000952335E-4
emissionprobs	4	4	H3k09acAlnRep1	0	0.9968629669507946
emissionprobs	4	4	H3k09acAlnRep1	1	0.003137033049205504
emissionprobs	4	5	H3k09me3AlnRep1	0	0.9977803585182234
emissionprobs	4	5	H3k09me3AlnRep1	1	0.002219641481776553
emissionprobs	4	6	H3k27acAlnRep1	0	0.9976630886711946
emissionprobs	4	6	H3k27acAlnRep1	1	0.002336911328805454
emissionprobs	4	7	H3k27me3AlnRep1	0	0.9993506962896198
emissionprobs	4	7	H3k27me3AlnRep1	1	6.493037103801866E-4
emissionprobs	4	8	H3k36me3AlnRep1	0	0.8952080689404234
emissionprobs	4	8	H3k36me3AlnRep1	1	0.10479193105957664
emissionprobs	4	9	H3k79me2AlnRep1	0	0.9421407031111522
emissionprobs	4	9	H3k79me2AlnRep1	1	0.05785929688884792
emissionprobs	5	0	H2azAlnRep1	0	0.9993384642100219
emissionprobs	5	0	H2azAlnRep1	1	6.615357899780167E-4
emissionprobs	5	1	H3k04me1AlnRep1	0	0.9900243644489477
emissionprobs	5	1	H3k04me1AlnRep1	1	0.009975635551052306
